#mpiTasks=1 mpiRank=0, n=100000000, range=100000000, StartLocal=0, HostLocal=wn20
#ID 0 terminated - piLocal = 3.1415926936  0.121154
#Funct  Inter  pi    error   time numtasks  hostname 
#ID 25 terminated - piLocal = 0.0764542735  0.004143
#ID 19 terminated - piLocal = 0.0911523391  0.004148
#ID 27 terminated - piLocal = 0.0719023903  0.004132
#ID 4 terminated - piLocal = 0.1225670289  0.004140
#ID 20 terminated - piLocal = 0.0886281817  0.004134
#ID 24 terminated - piLocal = 0.0788075613  0.004140
#ID 0 terminated - piLocal = 0.1249593737  0.004146
#ID 1 terminated - piLocal = 0.1247159462  0.004148
#Funct  Inter  pi    error   time numtasks  hostname 
1 100000000  3.1415936688 1.0152575634e-06 0.0041  32 # wn20 
